"Product Code","Pricing Table ID (18 Digit)","Active","DI Brand Name","Website Tier","Invoice Group","Dealer Price Currency","Dealer Price","OEM Product Code"
"VID-ONETIME","a8j5b000000txzNAAQ","0","Video Services (One-Time)","","GM_Alacarte","USD","125.00","DI_V_"
"VEHICLE-CONFIG","a8j5b000000txzMAAQ","1","Vehicle Build and Price","","GM_Alacarte","USD","199.00","DI_BAP_"
"UNLMTD EXPORTS","a8j5b000000txzLAAQ","1","Vehicle Syndication Solutions - Unlimited Exports","","GM_Alacarte","USD","199.00","DI_VSSUE_"
"SPLASHPAGE-MRR","a8j5b000000txzKAAQ","1","Splash Page","","GM_Alacarte","USD","499.00","DI_TSPN_"
"SINGLE EXPORT","a8j5b000000txzGAAQ","1","Vehicle Syndication Solutions - Single Export","","GM_Alacarte","USD","49.00","DI_VSSSE_"
"SINGLE-DIWEB-SETUP","a8j5b000000zxEKAAY","1","Multi-Language Site Setup Fee","","GM_Alacarte","USD","999.00","DI_SSNW_"
"SINGLE-DIWEB-PAGE","a8j5b000000txzIAAQ","1","Multi-Language Per Page Setup","","GM_Alacarte","USD","100.00","DI_SSNW_"
"SINGLE-DIWEB","a8j5b000000txzHAAQ","1","Single Site (Multi-Language)","","GM_Alacarte","USD","999.00","DI_1PPOF_"
"SEO-EXEC-MGMT","a8j5b000000txzFAAQ","1","SEO Advanced Package - Management Fee","","GM_DigAd","USD","300.00","DI_ASP_"
"SEO-EXEC","a8j5b000000txzEAAQ","1","SEO Advanced Package","","GM_DigAd","USD","1199.00","DI_ASP_"
"SEO-ELITE-MGMT","a8j5b000000txzDAAQ","1","SEO Dominate Package - Management Fee","","GM_DigAd","USD","450.00","DI_DSP_"
"SEO-ELITE","a8j5b000000txzCAAQ","1","SEO Dominate Package","","GM_DigAd","USD","1799.00","DI_DSP_"
"SEO-BASE-MGMT","a8j5b000000txzBAAQ","1","SEO Standard Package - Management Fee","","GM_DigAd","USD","200.00","DI_SSP_"
"SEO-BASE","a8j5b000000txzAAAQ","1","SEO Standard Package","","GM_DigAd","USD","799.00","DI_SSP_"
